grupo_zona,tipo_zona,zona,ca_minimo,ca_basico,ca_maximo,to_max_menor_500m2,to_max_maior_500m2,altura_max_metros,recuo_min_metros_frente,recuo_min_metros_fundo_lateral_altura_menor_10m,recuo_min_metros_fundo_lateral_altura_maior_10m,cota_parte_max_terreno_por_unidade_m2,obs_grupo_zona,obs_tipo_zona,obs_zona,obs_ca_minimo,obs_ca_basico,obs_ca_maximo,obs_to_max_menor_500m2,obs_to_max_maior_500m2,obs_altura_max_metros,obs_recuo_min_metros_frente,obs_recuo_min_metros_fundo_lateral_altura_menor_10m,obs_recuo_min_metros_fundo_lateral_altura_maior_10m,obs_cota_parte_max_terreno_por_unidade_m2,job_updated_at
ÁREAS PÚBLICAS E SAPAVEL (l),INSTITUCIONAIS,AI,NA,1.0,4.0,0.85,0.7,28.0,NA,NA,3 (j),NA,"['(l): Observar as disposições estabelecidas no § 4º do artigo 28 da Lei nº 16.402, de 22 de Março de 2016']",[],"['(a): Nas zonas inseridas na área de proteção e recuperação aos mananciais aplica-se a legislação estadual pertinente, quando mais restritiva, conforme §2º do artigo 5º da Lei nº 16.402, de 22 de Março de 2016']",[],[],"['(m): Para áreas contidas nos perímetros de incentivo ao desenvolvimento econômico Jacu-Pêssego e Cupecê, conforme Mapa 11 da Lei nº 16.050, de 31 de Julho de 2014 - PDE, verificar disposições dos artigos 362 e 363 da referida lei quanto ao coeficiente de aproveitamento máximo e outorga onerosa de potencial construtivo adicional']",[],[],['(o): O gabarito poderá ser superado para implantação de equipamentos esportivos que comprovadamente necessitem de um gabarito maior do que o indicado neste Quadro'],"['(i): O recuo frontal será facultativo quando atendido o disposto nos artigos 67 ou 69 da Lei nº 16.402, de 22 de Março de 2016']",[],"['(j): Os recuos laterais e de fundo para altura da edificação superior a 10m (dez metros) serão dispensados conforme disposições estabelecidas nos incisos II e III do artigo 66 da Lei nº 16.402, de 22 de Março de 2016']",[],2024-03-13 20:25:44.042+00
ÁREAS PÚBLICAS E SAPAVEL (l),INSTITUCIONAIS,AIa,NA,1.0,2.0,0.5,0.5,15.0,NA,NA,3 (j),NA,"['(l): Observar as disposições estabelecidas no § 4º do artigo 28 da Lei nº 16.402, de 22 de Março de 2016']",[],"['(a): Nas zonas inseridas na área de proteção e recuperação aos mananciais aplica-se a legislação estadual pertinente, quando mais restritiva, conforme §2º do artigo 5º da Lei nº 16.402, de 22 de Março de 2016']",[],[],"['(m): Para áreas contidas nos perímetros de incentivo ao desenvolvimento econômico Jacu-Pêssego e Cupecê, conforme Mapa 11 da Lei nº 16.050, de 31 de Julho de 2014 - PDE, verificar disposições dos artigos 362 e 363 da referida lei quanto ao coeficiente de aproveitamento máximo e outorga onerosa de potencial construtivo adicional']",[],[],['(o): O gabarito poderá ser superado para implantação de equipamentos esportivos que comprovadamente necessitem de um gabarito maior do que o indicado neste Quadro'],"['(i): O recuo frontal será facultativo quando atendido o disposto nos artigos 67 ou 69 da Lei nº 16.402, de 22 de Março de 2016']",[],"['(j): Os recuos laterais e de fundo para altura da edificação superior a 10m (dez metros) serão dispensados conforme disposições estabelecidas nos incisos II e III do artigo 66 da Lei nº 16.402, de 22 de Março de 2016']",[],2024-03-13 20:25:44.042+00
ÁREAS PÚBLICAS E SAPAVEL (l),CLUBES,AC-1,NA,0.6,0.6,0.6,0.6,20.0,5.0,3.0,3.0,NA,"['(l): Observar as disposições estabelecidas no § 4º do artigo 28 da Lei nº 16.402, de 22 de Março de 2016']",[],"['(a): Nas zonas inseridas na área de proteção e recuperação aos mananciais aplica-se a legislação estadual pertinente, quando mais restritiva, conforme §2º do artigo 5º da Lei nº 16.402, de 22 de Março de 2016']",[],[],"['(m): Para áreas contidas nos perímetros de incentivo ao desenvolvimento econômico Jacu-Pêssego e Cupecê, conforme Mapa 11 da Lei nº 16.050, de 31 de Julho de 2014 - PDE, verificar disposições dos artigos 362 e 363 da referida lei quanto ao coeficiente de aproveitamento máximo e outorga onerosa de potencial construtivo adicional']",[],[],['(o): O gabarito poderá ser superado para implantação de equipamentos esportivos que comprovadamente necessitem de um gabarito maior do que o indicado neste Quadro'],"['(i): O recuo frontal será facultativo quando atendido o disposto nos artigos 67 ou 69 da Lei nº 16.402, de 22 de Março de 2016']",[],[],[],2024-03-13 20:25:44.042+00
ÁREAS PÚBLICAS E SAPAVEL (l),CLUBES,AC-2,NA,0.4,0.4,0.4,0.4,10.0,5.0,3.0,3.0,NA,"['(l): Observar as disposições estabelecidas no § 4º do artigo 28 da Lei nº 16.402, de 22 de Março de 2016']",[],"['(a): Nas zonas inseridas na área de proteção e recuperação aos mananciais aplica-se a legislação estadual pertinente, quando mais restritiva, conforme §2º do artigo 5º da Lei nº 16.402, de 22 de Março de 2016']",[],[],"['(m): Para áreas contidas nos perímetros de incentivo ao desenvolvimento econômico Jacu-Pêssego e Cupecê, conforme Mapa 11 da Lei nº 16.050, de 31 de Julho de 2014 - PDE, verificar disposições dos artigos 362 e 363 da referida lei quanto ao coeficiente de aproveitamento máximo e outorga onerosa de potencial construtivo adicional']",[],[],['(o): O gabarito poderá ser superado para implantação de equipamentos esportivos que comprovadamente necessitem de um gabarito maior do que o indicado neste Quadro'],"['(i): O recuo frontal será facultativo quando atendido o disposto nos artigos 67 ou 69 da Lei nº 16.402, de 22 de Março de 2016']",[],[],[],2024-03-13 20:25:44.042+00
QUALIFICAÇÃO,ZCOR,ZCOR-1,0.05,1.0,1.0,0.5,0.5,10.0,5.0,NA,3 (j),NA,[],[],"['(a): Nas zonas inseridas na área de proteção e recuperação aos mananciais aplica-se a legislação estadual pertinente, quando mais restritiva, conforme §2º do artigo 5º da Lei nº 16.402, de 22 de Março de 2016']",[],[],"['(m): Para áreas contidas nos perímetros de incentivo ao desenvolvimento econômico Jacu-Pêssego e Cupecê, conforme Mapa 11 da Lei nº 16.050, de 31 de Julho de 2014 - PDE, verificar disposições dos artigos 362 e 363 da referida lei quanto ao coeficiente de aproveitamento máximo e outorga onerosa de potencial construtivo adicional']",[],[],['(o): O gabarito poderá ser superado para implantação de equipamentos esportivos que comprovadamente necessitem de um gabarito maior do que o indicado neste Quadro'],"['(i): O recuo frontal será facultativo quando atendido o disposto nos artigos 67 ou 69 da Lei nº 16.402, de 22 de Março de 2016']",[],"['(j): Os recuos laterais e de fundo para altura da edificação superior a 10m (dez metros) serão dispensados conforme disposições estabelecidas nos incisos II e III do artigo 66 da Lei nº 16.402, de 22 de Março de 2016']",[],2024-03-13 20:25:44.042+00
QUALIFICAÇÃO,ZCOR,ZCOR-2,0.05,1.0,1.0,0.5,0.5,10.0,5.0,NA,3 (n) (j),NA,[],[],"['(a): Nas zonas inseridas na área de proteção e recuperação aos mananciais aplica-se a legislação estadual pertinente, quando mais restritiva, conforme §2º do artigo 5º da Lei nº 16.402, de 22 de Março de 2016']",[],[],"['(m): Para áreas contidas nos perímetros de incentivo ao desenvolvimento econômico Jacu-Pêssego e Cupecê, conforme Mapa 11 da Lei nº 16.050, de 31 de Julho de 2014 - PDE, verificar disposições dos artigos 362 e 363 da referida lei quanto ao coeficiente de aproveitamento máximo e outorga onerosa de potencial construtivo adicional']",[],[],['(o): O gabarito poderá ser superado para implantação de equipamentos esportivos que comprovadamente necessitem de um gabarito maior do que o indicado neste Quadro'],"['(i): O recuo frontal será facultativo quando atendido o disposto nos artigos 67 ou 69 da Lei nº 16.402, de 22 de Março de 2016']",[],"['(j): Os recuos laterais e de fundo para altura da edificação superior a 10m (dez metros) serão dispensados conforme disposições estabelecidas nos incisos II e III do artigo 66 da Lei nº 16.402, de 22 de Março de 2016', '(n): Nos lotes em ZCOR-2, ZCOR-3 e ZCORa que utilizarem a majoração prevista no art. 91 desta Lei, deverá ser atendido recuo mínimo de fundo de 5m (cinco metros), à semelhança do recuo de frente']",[],2024-03-13 20:25:44.042+00
QUALIFICAÇÃO,ZCOR,ZCOR-3,0.05,1.0,1.0,0.5,0.5,10.0,5.0,NA,3 (n) (j),NA,[],[],"['(a): Nas zonas inseridas na área de proteção e recuperação aos mananciais aplica-se a legislação estadual pertinente, quando mais restritiva, conforme §2º do artigo 5º da Lei nº 16.402, de 22 de Março de 2016']",[],[],"['(m): Para áreas contidas nos perímetros de incentivo ao desenvolvimento econômico Jacu-Pêssego e Cupecê, conforme Mapa 11 da Lei nº 16.050, de 31 de Julho de 2014 - PDE, verificar disposições dos artigos 362 e 363 da referida lei quanto ao coeficiente de aproveitamento máximo e outorga onerosa de potencial construtivo adicional']",[],[],['(o): O gabarito poderá ser superado para implantação de equipamentos esportivos que comprovadamente necessitem de um gabarito maior do que o indicado neste Quadro'],"['(i): O recuo frontal será facultativo quando atendido o disposto nos artigos 67 ou 69 da Lei nº 16.402, de 22 de Março de 2016']",[],"['(j): Os recuos laterais e de fundo para altura da edificação superior a 10m (dez metros) serão dispensados conforme disposições estabelecidas nos incisos II e III do artigo 66 da Lei nº 16.402, de 22 de Março de 2016', '(n): Nos lotes em ZCOR-2, ZCOR-3 e ZCORa que utilizarem a majoração prevista no art. 91 desta Lei, deverá ser atendido recuo mínimo de fundo de 5m (cinco metros), à semelhança do recuo de frente']",[],2024-03-13 20:25:44.042+00
QUALIFICAÇÃO,ZCOR,ZCORa,NA,1.0,1.0,0.5,0.5,10.0,5.0,NA,3 (n) (j),NA,[],[],"['(a): Nas zonas inseridas na área de proteção e recuperação aos mananciais aplica-se a legislação estadual pertinente, quando mais restritiva, conforme §2º do artigo 5º da Lei nº 16.402, de 22 de Março de 2016']",[],[],"['(m): Para áreas contidas nos perímetros de incentivo ao desenvolvimento econômico Jacu-Pêssego e Cupecê, conforme Mapa 11 da Lei nº 16.050, de 31 de Julho de 2014 - PDE, verificar disposições dos artigos 362 e 363 da referida lei quanto ao coeficiente de aproveitamento máximo e outorga onerosa de potencial construtivo adicional']",[],[],['(o): O gabarito poderá ser superado para implantação de equipamentos esportivos que comprovadamente necessitem de um gabarito maior do que o indicado neste Quadro'],"['(i): O recuo frontal será facultativo quando atendido o disposto nos artigos 67 ou 69 da Lei nº 16.402, de 22 de Março de 2016']",[],"['(j): Os recuos laterais e de fundo para altura da edificação superior a 10m (dez metros) serão dispensados conforme disposições estabelecidas nos incisos II e III do artigo 66 da Lei nº 16.402, de 22 de Março de 2016', '(n): Nos lotes em ZCOR-2, ZCOR-3 e ZCORa que utilizarem a majoração prevista no art. 91 desta Lei, deverá ser atendido recuo mínimo de fundo de 5m (cinco metros), à semelhança do recuo de frente']",[],2024-03-13 20:25:44.042+00
QUALIFICAÇÃO,ZEIS,ZEIS-3,0.5,1.0,4 (g),0.85,0.7,NA,5.0,NA,3 (j),NA,[],[],"['(a): Nas zonas inseridas na área de proteção e recuperação aos mananciais aplica-se a legislação estadual pertinente, quando mais restritiva, conforme §2º do artigo 5º da Lei nº 16.402, de 22 de Março de 2016']",[],[],"['(g): O CAmáx será igual a 2 nos casos em que o lote for menor que 500m² (quinhentos metros quadrados)', '(m): Para áreas contidas nos perímetros de incentivo ao desenvolvimento econômico Jacu-Pêssego e Cupecê, conforme Mapa 11 da Lei nº 16.050, de 31 de Julho de 2014 - PDE, verificar disposições dos artigos 362 e 363 da referida lei quanto ao coeficiente de aproveitamento máximo e outorga onerosa de potencial construtivo adicional']",[],[],['(o): O gabarito poderá ser superado para implantação de equipamentos esportivos que comprovadamente necessitem de um gabarito maior do que o indicado neste Quadro'],"['(i): O recuo frontal será facultativo quando atendido o disposto nos artigos 67 ou 69 da Lei nº 16.402, de 22 de Março de 2016']",[],"['(j): Os recuos laterais e de fundo para altura da edificação superior a 10m (dez metros) serão dispensados conforme disposições estabelecidas nos incisos II e III do artigo 66 da Lei nº 16.402, de 22 de Março de 2016']",[],2024-03-13 20:25:44.042+00
QUALIFICAÇÃO,ZEIS,ZEIS-4,NA,1.0,2 (h),0.7,0.5,NA,5.0,NA,3 (j),NA,[],[],"['(a): Nas zonas inseridas na área de proteção e recuperação aos mananciais aplica-se a legislação estadual pertinente, quando mais restritiva, conforme §2º do artigo 5º da Lei nº 16.402, de 22 de Março de 2016']",[],[],"['(h): O CAmáx será igual a 1 nos casos em que o lote for menor que 1.000m² (mil metros quadrados)', '(m): Para áreas contidas nos perímetros de incentivo ao desenvolvimento econômico Jacu-Pêssego e Cupecê, conforme Mapa 11 da Lei nº 16.050, de 31 de Julho de 2014 - PDE, verificar disposições dos artigos 362 e 363 da referida lei quanto ao coeficiente de aproveitamento máximo e outorga onerosa de potencial construtivo adicional']",[],[],['(o): O gabarito poderá ser superado para implantação de equipamentos esportivos que comprovadamente necessitem de um gabarito maior do que o indicado neste Quadro'],"['(i): O recuo frontal será facultativo quando atendido o disposto nos artigos 67 ou 69 da Lei nº 16.402, de 22 de Março de 2016']",[],"['(j): Os recuos laterais e de fundo para altura da edificação superior a 10m (dez metros) serão dispensados conforme disposições estabelecidas nos incisos II e III do artigo 66 da Lei nº 16.402, de 22 de Março de 2016']",[],2024-03-13 20:25:44.042+00
QUALIFICAÇÃO,ZEIS,ZEIS-5,0.5,1.0,4 (f),0.85,0.7,NA,5.0,NA,3 (j),NA,[],[],"['(a): Nas zonas inseridas na área de proteção e recuperação aos mananciais aplica-se a legislação estadual pertinente, quando mais restritiva, conforme §2º do artigo 5º da Lei nº 16.402, de 22 de Março de 2016']",[],[],"['(f): O CAmáx será igual a 2 nos casos em que o lote for menor que 1.000m² (mil metros quadrados)', '(m): Para áreas contidas nos perímetros de incentivo ao desenvolvimento econômico Jacu-Pêssego e Cupecê, conforme Mapa 11 da Lei nº 16.050, de 31 de Julho de 2014 - PDE, verificar disposições dos artigos 362 e 363 da referida lei quanto ao coeficiente de aproveitamento máximo e outorga onerosa de potencial construtivo adicional']",[],[],['(o): O gabarito poderá ser superado para implantação de equipamentos esportivos que comprovadamente necessitem de um gabarito maior do que o indicado neste Quadro'],"['(i): O recuo frontal será facultativo quando atendido o disposto nos artigos 67 ou 69 da Lei nº 16.402, de 22 de Março de 2016']",[],"['(j): Os recuos laterais e de fundo para altura da edificação superior a 10m (dez metros) serão dispensados conforme disposições estabelecidas nos incisos II e III do artigo 66 da Lei nº 16.402, de 22 de Março de 2016']",[],2024-03-13 20:25:44.042+00
QUALIFICAÇÃO,ZDE,ZDE-1,0.5,1.0,2.0,0.7,0.7,28.0,5.0,NA,3 (j),NA,[],[],"['(a): Nas zonas inseridas na área de proteção e recuperação aos mananciais aplica-se a legislação estadual pertinente, quando mais restritiva, conforme §2º do artigo 5º da Lei nº 16.402, de 22 de Março de 2016']",[],[],"['(m): Para áreas contidas nos perímetros de incentivo ao desenvolvimento econômico Jacu-Pêssego e Cupecê, conforme Mapa 11 da Lei nº 16.050, de 31 de Julho de 2014 - PDE, verificar disposições dos artigos 362 e 363 da referida lei quanto ao coeficiente de aproveitamento máximo e outorga onerosa de potencial construtivo adicional']",[],[],['(o): O gabarito poderá ser superado para implantação de equipamentos esportivos que comprovadamente necessitem de um gabarito maior do que o indicado neste Quadro'],"['(i): O recuo frontal será facultativo quando atendido o disposto nos artigos 67 ou 69 da Lei nº 16.402, de 22 de Março de 2016']",[],"['(j): Os recuos laterais e de fundo para altura da edificação superior a 10m (dez metros) serão dispensados conforme disposições estabelecidas nos incisos II e III do artigo 66 da Lei nº 16.402, de 22 de Março de 2016']",[],2024-03-13 20:25:44.042+00
QUALIFICAÇÃO,ZDE,ZDE-2,0.5,1.0,2.0,0.7,0.5,28.0,5.0,3.0,3.0,NA,[],[],"['(a): Nas zonas inseridas na área de proteção e recuperação aos mananciais aplica-se a legislação estadual pertinente, quando mais restritiva, conforme §2º do artigo 5º da Lei nº 16.402, de 22 de Março de 2016']",[],[],"['(m): Para áreas contidas nos perímetros de incentivo ao desenvolvimento econômico Jacu-Pêssego e Cupecê, conforme Mapa 11 da Lei nº 16.050, de 31 de Julho de 2014 - PDE, verificar disposições dos artigos 362 e 363 da referida lei quanto ao coeficiente de aproveitamento máximo e outorga onerosa de potencial construtivo adicional']",[],[],['(o): O gabarito poderá ser superado para implantação de equipamentos esportivos que comprovadamente necessitem de um gabarito maior do que o indicado neste Quadro'],"['(i): O recuo frontal será facultativo quando atendido o disposto nos artigos 67 ou 69 da Lei nº 16.402, de 22 de Março de 2016']",[],[],[],2024-03-13 20:25:44.042+00
QUALIFICAÇÃO,ZPI,ZPI-1,0.5,1.0,1.5,0.7,0.7,28.0,5.0,3.0,3.0,NA,[],[],"['(a): Nas zonas inseridas na área de proteção e recuperação aos mananciais aplica-se a legislação estadual pertinente, quando mais restritiva, conforme §2º do artigo 5º da Lei nº 16.402, de 22 de Março de 2016']",[],[],"['(m): Para áreas contidas nos perímetros de incentivo ao desenvolvimento econômico Jacu-Pêssego e Cupecê, conforme Mapa 11 da Lei nº 16.050, de 31 de Julho de 2014 - PDE, verificar disposições dos artigos 362 e 363 da referida lei quanto ao coeficiente de aproveitamento máximo e outorga onerosa de potencial construtivo adicional']",[],[],['(o): O gabarito poderá ser superado para implantação de equipamentos esportivos que comprovadamente necessitem de um gabarito maior do que o indicado neste Quadro'],"['(i): O recuo frontal será facultativo quando atendido o disposto nos artigos 67 ou 69 da Lei nº 16.402, de 22 de Março de 2016']",[],[],[],2024-03-13 20:25:44.042+00
QUALIFICAÇÃO,ZPI,ZPI-2,NA,1.0,1.5,0.5,0.5,28.0,5.0,3.0,3.0,NA,[],[],"['(a): Nas zonas inseridas na área de proteção e recuperação aos mananciais aplica-se a legislação estadual pertinente, quando mais restritiva, conforme §2º do artigo 5º da Lei nº 16.402, de 22 de Março de 2016']",[],[],"['(m): Para áreas contidas nos perímetros de incentivo ao desenvolvimento econômico Jacu-Pêssego e Cupecê, conforme Mapa 11 da Lei nº 16.050, de 31 de Julho de 2014 - PDE, verificar disposições dos artigos 362 e 363 da referida lei quanto ao coeficiente de aproveitamento máximo e outorga onerosa de potencial construtivo adicional']",[],[],['(o): O gabarito poderá ser superado para implantação de equipamentos esportivos que comprovadamente necessitem de um gabarito maior do que o indicado neste Quadro'],"['(i): O recuo frontal será facultativo quando atendido o disposto nos artigos 67 ou 69 da Lei nº 16.402, de 22 de Março de 2016']",[],[],[],2024-03-13 20:25:44.042+00
QUALIFICAÇÃO,ZM,ZMISa,NA,1.0,1.0,0.7,0.5,15.0,5.0,NA,3 (j),NA,[],[],"['(a): Nas zonas inseridas na área de proteção e recuperação aos mananciais aplica-se a legislação estadual pertinente, quando mais restritiva, conforme §2º do artigo 5º da Lei nº 16.402, de 22 de Março de 2016']",[],[],"['(m): Para áreas contidas nos perímetros de incentivo ao desenvolvimento econômico Jacu-Pêssego e Cupecê, conforme Mapa 11 da Lei nº 16.050, de 31 de Julho de 2014 - PDE, verificar disposições dos artigos 362 e 363 da referida lei quanto ao coeficiente de aproveitamento máximo e outorga onerosa de potencial construtivo adicional']",[],[],['(o): O gabarito poderá ser superado para implantação de equipamentos esportivos que comprovadamente necessitem de um gabarito maior do que o indicado neste Quadro'],"['(i): O recuo frontal será facultativo quando atendido o disposto nos artigos 67 ou 69 da Lei nº 16.402, de 22 de Março de 2016']",[],"['(j): Os recuos laterais e de fundo para altura da edificação superior a 10m (dez metros) serão dispensados conforme disposições estabelecidas nos incisos II e III do artigo 66 da Lei nº 16.402, de 22 de Março de 2016']",[],2024-03-13 20:25:44.042+00
QUALIFICAÇÃO,ZEIS,ZEIS-1,0.5,1.0,2.5 (f),0.85,0.7,NA,5.0,NA,3 (j),NA,[],[],"['(a): Nas zonas inseridas na área de proteção e recuperação aos mananciais aplica-se a legislação estadual pertinente, quando mais restritiva, conforme §2º do artigo 5º da Lei nº 16.402, de 22 de Março de 2016']",[],[],"['(f): O CAmáx será igual a 2 nos casos em que o lote for menor que 1.000m² (mil metros quadrados)', '(m): Para áreas contidas nos perímetros de incentivo ao desenvolvimento econômico Jacu-Pêssego e Cupecê, conforme Mapa 11 da Lei nº 16.050, de 31 de Julho de 2014 - PDE, verificar disposições dos artigos 362 e 363 da referida lei quanto ao coeficiente de aproveitamento máximo e outorga onerosa de potencial construtivo adicional']",[],[],['(o): O gabarito poderá ser superado para implantação de equipamentos esportivos que comprovadamente necessitem de um gabarito maior do que o indicado neste Quadro'],"['(i): O recuo frontal será facultativo quando atendido o disposto nos artigos 67 ou 69 da Lei nº 16.402, de 22 de Março de 2016']",[],"['(j): Os recuos laterais e de fundo para altura da edificação superior a 10m (dez metros) serão dispensados conforme disposições estabelecidas nos incisos II e III do artigo 66 da Lei nº 16.402, de 22 de Março de 2016']",[],2024-03-13 20:25:44.042+00
QUALIFICAÇÃO,ZEIS,ZEIS-2,0.5,1.0,4 (f),0.85,0.7,NA,5.0,NA,3 (j),NA,[],[],"['(a): Nas zonas inseridas na área de proteção e recuperação aos mananciais aplica-se a legislação estadual pertinente, quando mais restritiva, conforme §2º do artigo 5º da Lei nº 16.402, de 22 de Março de 2016']",[],[],"['(f): O CAmáx será igual a 2 nos casos em que o lote for menor que 1.000m² (mil metros quadrados)', '(m): Para áreas contidas nos perímetros de incentivo ao desenvolvimento econômico Jacu-Pêssego e Cupecê, conforme Mapa 11 da Lei nº 16.050, de 31 de Julho de 2014 - PDE, verificar disposições dos artigos 362 e 363 da referida lei quanto ao coeficiente de aproveitamento máximo e outorga onerosa de potencial construtivo adicional']",[],[],['(o): O gabarito poderá ser superado para implantação de equipamentos esportivos que comprovadamente necessitem de um gabarito maior do que o indicado neste Quadro'],"['(i): O recuo frontal será facultativo quando atendido o disposto nos artigos 67 ou 69 da Lei nº 16.402, de 22 de Março de 2016']",[],"['(j): Os recuos laterais e de fundo para altura da edificação superior a 10m (dez metros) serão dispensados conforme disposições estabelecidas nos incisos II e III do artigo 66 da Lei nº 16.402, de 22 de Março de 2016']",[],2024-03-13 20:25:44.042+00
